,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.4071044921875,10137.338989257812
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.682723999023438
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49144.05328774452
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.645012140274048
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.27134728432
5,2019-03-29,SELL,NVDA,25169,4.400113105773926,162996.71810650826
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.015383958816528
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.56824040413
8,2019-04-30,SELL,NVDA,18473,4.451748371124268,227104.71590018272
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.23592734336853
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.9271056652
11,2019-05-31,BUY,NVDA,38293,3.4572558403015137,66088.22921299934
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.459445238113403
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.57925724983
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.5186049938201904
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.701706647873
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.980238676071167
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.109048604965
18,2019-08-30,BUY,NVDA,377,4.154506206512451,27242.86020874977
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.87103295326233
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8772.085359811783
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.979252099990845
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.59942650795
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.749267816544
24,2019-10-31,BUY,NVDA,3061,5.050086975097656,269.4330370426178
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32426.649681329727
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28635.489769220352
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,208.87072777748108
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1178.8007204532623
29,2019-12-31,SELL,NVDA,11902,5.783753871917725,70017.03930401802
30,2019-12-31,BUY,CSCO,1731,40.44774627685547,1.9904987812042236
