,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49143.91475272179
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.506477117538452
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.13281226158
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.61557602882
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.912853479385376
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.4657099247
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.62217831612
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.142205476760864
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.8333837986
11,2019-05-31,BUY,NVDA,38293,3.4572556018829346,66088.14462089539
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.374853134155273
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.494665145874
14,2019-06-28,BUY,NVDA,12893,4.056701183319092,0.44630861282348633
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.629410266876
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.907942295074463
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.03675222397
18,2019-08-30,BUY,NVDA,377,4.154505729675293,27242.788092136383
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.798916339874268
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8772.013243198395
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.907135486602783
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.52730989456
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.677151203156
24,2019-10-31,BUY,NVDA,3061,5.05008602142334,269.36383962631226
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32426.58048391342
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28635.420571804047
27,2019-11-29,BUY,NVDA,5232,5.433223247528076,208.7965407371521
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1178.7265334129333
29,2019-12-31,SELL,NVDA,11902,5.783753871917725,70016.96511697769
30,2019-12-31,BUY,CSCO,1731,40.44773483276367,1.9361214637756348
