,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.4071044921875,10137.338989257812
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.682723999023438
2,2019-02-28,SELL,NVDA,12749,3.853978157043457,49144.05024814606
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.641972541809082
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.26830768585
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.73906993866
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.036347389221191
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.58920383453
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.74567222595
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.26569938659668
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.95687770844
11,2019-05-31,BUY,NVDA,38293,3.4572558403015137,66088.25898504257
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.489217281341553
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.60902929306
14,2019-06-28,BUY,NVDA,12893,4.056701183319092,0.5606727600097656
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.7437744140625
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.022306442260742
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.151116371155
18,2019-08-30,BUY,NVDA,378,4.154504776000977,27238.748311042786
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.759135246276855
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8767.973462104797
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.867354393005371
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.487528800964
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.637370109558
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.3726854324341
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.589329719543
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.42941761017
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,209.80788135528564
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.737874031067
29,2019-12-31,SELL,NVDA,11902,5.783753395080566,70017.97078227997
30,2019-12-31,BUY,CSCO,1731,40.44773864746094,2.935183525085449
