,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.4071044921875,10137.338989257812
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.682723999023438
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49144.05632734299
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.6480517387390137
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.27438688278
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.75715065002
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.0544281005859375
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.6072845459
8,2019-04-30,SELL,NVDA,18473,4.451747894287109,227104.74613571167
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.266162872314453
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.95734119415
11,2019-05-31,BUY,NVDA,38293,3.4572556018829346,66088.26857829094
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.498810529708862
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.61862254143
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.5641181468963623
15,2019-07-31,SELL,NVDA,955,4.360401630401611,4164.747675180435
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.026207208633423
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.155017137527
18,2019-08-30,BUY,NVDA,378,4.154505252838135,27238.752031564713
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.762855768203735
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8767.978159666061
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.872051954269409
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.49222636223
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.642067670822
24,2019-10-31,BUY,NVDA,3060,5.050088405609131,270.3715465068817
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.502190351486
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.34227824211
27,2019-11-29,BUY,NVDA,5232,5.433221817016602,187.72573161125183
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.655724287033
29,2019-12-31,SELL,NVDA,11901,5.78375244140625,69990.09352946281
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70017.74019694328
31,2019-12-31,BUY,CSCO,1731,40.44773864746094,2.7045981884002686
