,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49143.91779232025
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.509516716003418
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.13585186005
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.60661411285
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.9038915634155273
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.45674800873
8,2019-04-30,SELL,NVDA,18473,4.451749324798584,227104.62202501297
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.142052173614502
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.83323049545
11,2019-05-31,BUY,NVDA,38293,3.457256317138672,66088.11707830429
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.347310543060303
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.46712255478
14,2019-06-28,BUY,NVDA,12893,4.056701183319092,0.4187660217285156
15,2019-07-31,SELL,NVDA,955,4.360401630401611,4164.602323055267
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.880855083465576
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.00966501236
18,2019-08-30,BUY,NVDA,377,4.154504776000977,27242.76136445999
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.772188663482666
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8771.986515522003
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.880407810211182
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.50058221817
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.650423526764
24,2019-10-31,BUY,NVDA,3061,5.050086498260498,269.3356523513794
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32426.55229663849
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28635.392384529114
27,2019-11-29,BUY,NVDA,5232,5.433223724365234,208.76585865020752
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1178.6958513259888
29,2019-12-31,SELL,NVDA,11902,5.783753871917725,70016.93443489075
30,2019-12-31,BUY,CSCO,1731,40.4477424621582,1.892232894897461
