,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.4071044921875,10137.338989257812
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.682723999023438
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49144.05936694145
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.6510913372039795
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.27742648125
5,2019-03-29,SELL,NVDA,25169,4.400115013122559,162996.77219176292
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.069469213485718
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.6223256588
8,2019-04-30,SELL,NVDA,18473,4.451749324798584,227104.78760266304
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.307629823684692
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.99880814552
11,2019-05-31,BUY,NVDA,38293,3.457254648208618,66088.34656429291
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.576796531677246
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.696608543396
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.6359562873840332
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.819057941437
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.09758996963501
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.22639989853
18,2019-08-30,BUY,NVDA,378,4.154504776000977,27238.82359457016
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.834418773651123
20,2019-09-30,SELL,NVDA,2049,4.272922039031982,8768.051676750183
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.9455690383911133
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.56574344635
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.715584754944
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.4509000778198
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.581543922424
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.42163181305
27,2019-11-29,BUY,NVDA,5232,5.433221817016602,187.80508518218994
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.7350778579712
29,2019-12-31,SELL,NVDA,11901,5.783751964569092,69990.16720819473
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70017.8138756752
31,2019-12-31,BUY,CSCO,1731,40.44774627685547,2.7650704383850098
