,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104730606079,10137.269721746445
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.61345648765564
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49143.984020233154
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.57574462890625
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.20207977295
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.67284202576
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.9701194763183594
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.52297592163
8,2019-04-30,SELL,NVDA,18473,4.451749801635742,227104.6970615387
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.21708869934082
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.90826702118
11,2019-05-31,BUY,NVDA,38293,3.4572551250457764,66088.23776364326
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.467995882034302
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.58780789375
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.5271556377410889
15,2019-07-31,SELL,NVDA,955,4.360400676727295,4164.709801912308
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.988333940505981
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.1171438694
18,2019-08-30,BUY,NVDA,378,4.154505729675293,27238.71397805214
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.724802255630493
20,2019-09-30,SELL,NVDA,2049,4.27292013168335,8767.938152074814
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.8320443630218506
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.45221877098
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.602060079575
24,2019-10-31,BUY,NVDA,3060,5.0500874519348145,270.33445715904236
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.465101003647
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.305188894272
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,187.68365263938904
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.6136453151703
29,2019-12-31,SELL,NVDA,11901,5.783754825592041,69990.07982468605
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70017.72649216652
31,2019-12-31,BUY,CSCO,1731,40.44773483276367,2.6974966526031494
