,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49144.125594854355
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7173192501068115
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.34365439415
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.8264181614
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.123695611953735
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.67655205727
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.83302044868
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.353047609329224
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.04422593117
11,2019-05-31,BUY,NVDA,38293,3.4572551250457764,66088.37372255325
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.603954792022705
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.72376680374
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.6692624092102051
15,2019-07-31,SELL,NVDA,955,4.3604021072387695,4164.853274822235
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.13180685043335
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.260616779327
18,2019-08-30,BUY,NVDA,378,4.154504299163818,27238.857991695404
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.868815898895264
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8768.083142757416
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.9770350456237793
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.597209453583
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.747050762177
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.4823660850525
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.613009929657
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.453097820282
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,187.83156156539917
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.7615542411804
29,2019-12-31,SELL,NVDA,11901,5.783753871917725,69990.21638393402
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70017.86305141449
31,2019-12-31,BUY,CSCO,1731,40.4477424621582,2.8208494186401367
