,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49144.12863445282
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7203588485717773
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.346693992615
5,2019-03-29,SELL,NVDA,25169,4.400115013122559,162996.8414592743
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.138736724853516
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.69159317017
8,2019-04-30,SELL,NVDA,18473,4.451748371124268,227104.83925294876
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.359280109405518
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.05045843124
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.37082529068
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.601057529449463
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.72086954117
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.6663651466369629
15,2019-07-31,SELL,NVDA,955,4.360401630401611,4164.849922180176
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.128454208374023
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.257264137268
18,2019-08-30,BUY,NVDA,378,4.154504776000977,27238.8544588089
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.865283012390137
20,2019-09-30,SELL,NVDA,2049,4.27292013168335,8768.078632831573
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.972525119781494
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.59269952774
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.742540836334
24,2019-10-31,BUY,NVDA,3060,5.05008602142334,270.4793152809143
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.60995912552
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.450047016144
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,187.828510761261
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.7585034370422
29,2019-12-31,SELL,NVDA,11901,5.783752918243408,69990.20198345184
30,2019-12-31,BUY,CSCO,1730,40.44773483276367,15.620722770690918
