,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104015350342,10137.477524280548
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.821259021759033
2,2019-02-28,SELL,NVDA,12749,3.853978157043457,49144.18878316879
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7805075645446777
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.40684270859
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.88960647583
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.186883926391602
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.7397403717
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.89620876312
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.41623592376709
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.1074142456
11,2019-05-31,BUY,NVDA,38293,3.4572556018829346,66088.41865134239
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.648883581161499
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.76869559288
14,2019-06-28,BUY,NVDA,12893,4.056702613830566,0.7018954753875732
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.88499712944
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.16352915763855
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.292339086533
18,2019-08-30,BUY,NVDA,378,4.154504299163818,27238.88971400261
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.900538206100464
20,2019-09-30,SELL,NVDA,2049,4.272922039031982,8768.117796182632
21,2019-09-30,BUY,TSLA,543,16.142000198364258,3.011688470840454
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.6318628788
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.781704187393
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.51701951026917
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.647663354874
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.4877512455
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,187.86870980262756
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.7987024784088
29,2019-12-31,SELL,NVDA,11901,5.78375244140625,69990.23650765419
30,2019-12-31,BUY,CSCO,1730,40.44773864746094,15.648647546768188
